id,max_corsi,corsi_minmax,conditional_correct,conditional_minmax,mental_accuracy,mental_minmax,spatial_arrag_correct,spatial_arrag_minmax,spatial_rel_correct,spatial_rel_minmax,nvc_count,nvc_count_maxscaled,crt_correct,crt_minmax,NFC,NFC_minmax,verbal,verbal_minmax,wason_correct,wason_minmax,jacc
participant_80,10,1.0,0.5,0.5,0.2,0.2,1.0,1.0,0.5625,0.5625,0,0.0,0.8571428571428571,0.8571428571428571,5.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.13645833333333332
participant_83,7,0.6666666666666666,0.75,0.75,0.4,0.4,0.85,0.85,0.6875,0.6875,0,0.0,0.5714285714285714,0.5714285714285714,4.0,0.5,0.625,0.625,0.3333333333333333,0.3333333333333333,0.4713541666666667
participant_84,9,0.8888888888888888,0.875,0.875,0.7333333333333333,0.7333333333333333,0.9,0.9,0.90625,0.90625,4,0.125,0.8571428571428571,0.8571428571428571,3.25,0.375,0.75,0.75,0.3333333333333333,0.3333333333333333,0.7630208333333334
participant_85,7,0.6666666666666666,0.5,0.5,0.25,0.25,0.9,0.9,0.28125,0.28125,1,0.03125,0.2857142857142857,0.2857142857142857,2.75,0.2916666666666667,0.5,0.5,0.3333333333333333,0.3333333333333333,0.09244791666666667
participant_86,7,0.6666666666666666,0.75,0.75,0.5,0.5,0.7,0.7,0.34375,0.34375,32,1.0,0.7142857142857143,0.7142857142857143,3.25,0.375,0.25,0.25,0.5,0.5,0.5091145833333334
participant_87,7,0.6666666666666666,0.5,0.5,0.375,0.375,0.7,0.7,0.34375,0.34375,0,0.0,0.14285714285714285,0.14285714285714285,3.5,0.4166666666666667,0.0,0.0,0.3333333333333333,0.3333333333333333,0.1171875
participant_88,7,0.6666666666666666,0.625,0.625,0.3,0.3,0.75,0.75,0.59375,0.59375,0,0.0,0.14285714285714285,0.14285714285714285,2.25,0.20833333333333334,0.0,0.0,0.0,0.0,0.06197916666666667
participant_9,7,0.6666666666666666,0.375,0.375,0.7,0.7,0.8,0.8,0.75,0.75,3,0.09375,0.8571428571428571,0.8571428571428571,3.0,0.3333333333333333,0.125,0.125,0.6666666666666666,0.6666666666666666,0.5885416666666666
participant_90,7,0.6666666666666666,0.5,0.5,0.5,0.5,0.9,0.9,0.625,0.625,0,0.0,0.0,0.0,3.5,0.4166666666666667,0.375,0.375,0.3333333333333333,0.3333333333333333,0.08854166666666666
participant_91,4,0.3333333333333333,0.5,0.5,0.15,0.15,0.5,0.5,0.3125,0.3125,4,0.125,0.2857142857142857,0.2857142857142857,4.75,0.625,0.125,0.125,0.0,0.0,0.12760416666666666
participant_92,9,0.8888888888888888,0.5,0.5,0.25,0.25,0.7,0.7,0.4375,0.4375,0,0.0,0.7142857142857143,0.7142857142857143,3.75,0.4583333333333333,0.625,0.625,0.0,0.0,0.21067708333333335
participant_94,7,0.6666666666666666,0.5,0.5,0.95,0.95,0.8,0.8,0.84375,0.84375,9,0.28125,0.8571428571428571,0.8571428571428571,4.5,0.5833333333333334,0.5,0.5,0.5,0.5,0.3645833333333333
participant_96,9,0.8888888888888888,0.5,0.5,0.15,0.15,1.0,1.0,0.53125,0.53125,0,0.0,0.5714285714285714,0.5714285714285714,4.5,0.5833333333333334,0.625,0.625,0.5,0.5,0.57421875
participant_99,6,0.5555555555555556,0.625,0.625,0.25,0.25,0.65,0.65,0.53125,0.53125,4,0.125,0.2857142857142857,0.2857142857142857,3.5,0.4166666666666667,0.875,0.875,0.0,0.0,0.30859375
